tag_id,tag_name,tag_type,parent_tag_id,description,status,created_at,updated_at
semiconductor,半導體,industry,,半導體產業（含 IC 設計、晶圓代工、封測、記憶體等）,active,2026-04-12 17:04:20,2026-04-12 17:04:20
semiconductor_equipment,半導體設備,industry,semiconductor,半導體製程設備,active,2026-04-12 14:26:27,2026-04-12 14:26:27
semiconductor_material,半導體材料,industry,semiconductor,光阻、靶材、化學品等,active,2026-04-12 14:26:27,2026-04-12 14:26:27
server_odm,伺服器ODM,industry,computer_peripheral,伺服器代工設計製造,active,2026-04-12 14:26:27,2026-04-12 14:26:27
shipping,航運,industry,,海運、空運、物流,active,2026-04-12 17:00:42,2026-04-12 17:00:42
solar,太陽能,industry,optoelectronic,,active,2026-04-13T01:18:24.270846,2026-04-13T01:18:24.270846
sports_leisure,運動休閒,industry,,運動用品、休閒娛樂,active,2026-04-12 17:00:42,2026-04-12 17:00:42
steel,鋼鐵,industry,,鋼鐵冶煉及加工,active,2026-04-12 17:00:42,2026-04-12 17:00:42
substrate,載板,industry,pcb,IC載板 / ABF載板,active,2026-04-12 14:26:27,2026-04-12 14:26:27
switch,交換器,industry,networking,網路交換器,active,2026-04-12 14:26:27,2026-04-12 14:26:27
telecom,電信,industry,networking,電信服務業者,active,2026-04-12 15:10:46,2026-04-12 15:10:46
textile,紡織,industry,,紡織纖維及成衣,active,2026-04-12 17:00:42,2026-04-12 17:00:42
tft_lcd,TFT-LCD,industry,panel,薄膜電晶體液晶面板,active,2026-04-12 15:10:46,2026-04-12 15:10:46
touch_panel,觸控面板,industry,panel,觸控面板模組,active,2026-04-12 15:10:46,2026-04-12 15:10:46
tourism_hospitality,觀光餐旅,industry,,觀光飯店、餐飲、旅遊,active,2026-04-12 17:00:42,2026-04-12 17:00:42
wafer_foundry,晶圓代工,industry,semiconductor,半導體晶圓製造代工,active,2026-04-12 14:26:27,2026-04-12 14:26:27
wifi,WiFi,industry,networking,WiFi無線通訊模組,active,2026-04-12 15:10:46,2026-04-12 15:10:46
wire_harness,線束,industry,connector,線束組裝 / 連接線組,active,2026-04-12 15:10:46,2026-04-12 15:10:46
china_exposure,中國曝險高,risk,,中國營收占比高,active,2026-04-12 14:26:27,2026-04-12 14:26:27
commodity_sensitive,原物料敏感,risk,,原物料價格影響毛利,active,2026-04-12 14:26:27,2026-04-12 14:26:27
customer_concentration,單一客戶集中,risk,,營收高度集中於少數客戶,active,2026-04-12 14:26:27,2026-04-12 14:26:27
eps_volatile,EPS波動大,risk,,獲利波動性大,active,2026-04-12 14:26:27,2026-04-12 14:26:27
fx_sensitive,匯率敏感,risk,,受匯率波動影響大,active,2026-04-12 14:26:27,2026-04-12 14:26:27
high_capex,CAPEX高,risk,,資本支出占營收比重高,active,2026-04-12 14:26:27,2026-04-12 14:26:27
cyclical,景氣循環,style,,景氣循環型股票,active,2026-04-12 14:26:27,2026-04-12 14:26:27
defensive,防禦股,style,,防禦性產業,active,2026-04-12 14:26:27,2026-04-12 14:26:27
etf_component,ETF成份股,style,,重要 ETF 成份股,active,2026-04-12 14:26:27,2026-04-12 14:26:27
growth,成長股,style,,營收或獲利持續成長,active,2026-04-12 14:26:27,2026-04-12 14:26:27
high_dividend,高殖利率,style,,殖利率高於市場平均,active,2026-04-12 14:26:27,2026-04-12 14:26:27
high_volatility,高波動,style,,股價波動度高,active,2026-04-12 14:26:27,2026-04-12 14:26:27
large_cap,權值股,style,,大型權值股,active,2026-04-12 14:26:27,2026-04-12 14:26:27
small_mid_cap,中小型股,style,,中小型市值股票,active,2026-04-12 14:26:27,2026-04-12 14:26:27
advanced_packaging,先進封裝,theme,,2.5D/3D 先進封裝技術,active,2026-04-12 14:26:27,2026-04-12 14:26:27
ai_pc,AI PC,theme,,AI 個人電腦,active,2026-04-12 14:26:27,2026-04-12 14:26:27
ai_server,AI伺服器,theme,,AI伺服器供應鏈相關,active,2026-04-12 14:26:27,2026-04-12 14:26:27
cowos,CoWoS,theme,,台積電 CoWoS 先進封裝,active,2026-04-12 14:26:27,2026-04-12 14:26:27
cpo,CPO,theme,,共封裝光學 (Co-Packaged Optics),active,2026-04-12 14:26:27,2026-04-12 14:26:27
cybersecurity,資安,theme,,資訊安全,active,2026-04-12 14:26:27,2026-04-12 14:26:27
edge_ai,邊緣AI,theme,,邊緣運算 AI,active,2026-04-12 14:26:27,2026-04-12 14:26:27
energy_storage,儲能,theme,,儲能系統,active,2026-04-12 14:26:27,2026-04-12 14:26:27
ev,電動車,theme,,電動車供應鏈,active,2026-04-12 14:26:27,2026-04-12 14:26:27
gb200,GB200,theme,,NVIDIA GB200 供應鏈,active,2026-04-12 14:26:27,2026-04-12 14:26:27
hbm,HBM,theme,,高頻寬記憶體,active,2026-04-12 14:26:27,2026-04-12 14:26:27
heavy_electric,重電,theme,,重電設備（變壓器、配電盤等）,active,2026-04-12 14:26:27,2026-04-12 14:26:27
leo_satellite,低軌衛星,theme,,低軌道衛星通訊,active,2026-04-12 14:26:27,2026-04-12 14:26:27
memory_pricing_surge,記憶體漲價潮,theme,,庫存短缺及需求增長導致記憶體價格再次上漲，對多家企業產生重大影響。,candidate,2026-04-12T23:43:37.378853,2026-04-12T23:43:37.378853
micro_led,Micro LED,theme,,Micro LED跨多家公司和多個應用領域，本週討論熱度顯著增加，顯示其潛在成長機會。,candidate,2026-04-12T23:35:07.874700,2026-04-12T23:35:07.874700
military,軍工,theme,,軍工國防概念,active,2026-04-12 14:26:27,2026-04-12 14:26:27
robot,機器人,theme,,機器人與自動化,active,2026-04-12 14:26:27,2026-04-12 14:26:27
silicon_photonics,矽光子,theme,,矽光子技術,active,2026-04-12 14:26:27,2026-04-12 14:26:27
silicon_photonics_integrated_circuits,矽光子積體電路,theme,,矽光子技術開始在各大科技公司與市場中受關注，尤其是在CPO相關題材中被大量提及，顯示其有潛力成為新趨勢。,candidate,2026-04-13T00:18:37.159703,2026-04-13T00:18:37.159703
